Area Type, Area, Area Name, Standard Occupational Code, Occupational Title, Employment,Mean Wage, Median Wage, Entry Wage, Experienced Wage                                                                                                                                                                                                                                             
1,36,New York State, 00-0000,"Total, All Occupations",9385620,63270,46010,26210,81790
1,36,New York State, 11-0000,Management Occupations,482770,158920,136470,76660,200050
1,36,New York State, 11-1011, Chief Executives,10430,224310,,115860,278530
1,36,New York State, 11-1021, General and Operations Managers,163250,159290,132200,68450,204700
1,36,New York State, 11-1031, Legislators,6220,91800,93920,83050,96170
1,36,New York State, 11-2011, Advertising and Promotions Managers,6590,178260,160770,98450,218170
1,36,New York State, 11-2021, Marketing Managers,17590,191500,175570,113660,230410
1,36,New York State, 11-2022, Sales Managers,23120,202230,183850,114640,246030
1,36,New York State, 11-2031, Public Relations and Fundraising Managers,6190,170570,152290,95190,208260
1,36,New York State, 11-3011, Administrative Services Managers,18350,140140,128530,84770,167820
1,36,New York State, 11-3021, Computer and Information Systems Managers,27070,194000,173500,120410,230790
1,36,New York State, 11-3031,Financial Managers,42460,214590,198590,116930,263420
1,36,New York State, 11-3051, Industrial Production Managers,5310,135040,126070,85580,159780
1,36,New York State, 11-3061, Purchasing Managers,4020,150320,136230,87960,181500
1,36,New York State, 11-3071,"Transportation, Storage, and Distribution Managers",3880,122680,115730,80430,143800
1,36,New York State, 11-3111, Compensation and Benefits Managers,1510,165080,149540,102880,196180
1,36,New York State, 11-3121, Human Resources Managers,10230,153190,136050,87220,186170
1,36,New York State, 11-3131, Training and Development Managers,3340,156150,148640,93770,187340
1,36,New York State, 11-9021, Construction Managers,10970,134500,118670,75590,163960
1,36,New York State, 11-9031,"Education Administrators, Preschool and Childcare Center/Program",4020,76020,69620,44720,91670
1,36,New York State, 11-9032,"Education Administrators, Elementary and Secondary School",20670,130450,127170,87350,152000
1,36,New York State, 11-9033," Education Administrators, Postsecondary",10810,126750,108510,68550,155860
1,36,New York State, 11-9041, Architectural and Engineering Managers,7330,164800,154080,111890,191260
1,36,New York State, 11-9051,Food Service Managers,8850,79260,76390,53190,92300
1,36,New York State, 11-9061, Funeral Service Managers,540,99290,96850,48360,124760
1,36,New York State, 11-9071, Gaming Managers,n/a,105330,96290,66310,124840
1,36,New York State, 11-9081,Lodging Managers,780,87860,75320,50410,106590
